COM,PMUN,PCAP,PTOT
Coyolles,344,21,365
Cramaille,143,8,151
Craonne,82,0,82
Craonnelle,117,3,120
Crécy-au-Mont,346,3,349
Crécy-sur-Serre,1498,17,1515
Crépy,1837,31,1868
Crézancy,1230,84,1314
Croix-Fonsomme,257,3,260
La Croix-sur-Ourcq,105,2,107
Crouttes-sur-Marne,647,11,658
Crouy,2905,47,2952
Crupilly,64,3,67
Cuffies,1789,35,1824
Cugny,606,5,611
Cuirieux,157,3,160
Cuiry-Housse,102,0,102
Cuiry-lès-Chaudardes,76,4,80
Cuiry-lès-Iviers,28,1,29
Cuissy-et-Geny,71,2,73
Cuisy-en-Almont,355,3,358
Cutry,128,5,133
Cys-la-Commune,143,2,145
Cœuvres-et-Valsery,438,6,444
Dagny-Lambercy,125,3,128
Dallon,436,13,449
Dammard,379,13,392
Dampleux,398,15,413
Danizy,650,11,661
Dercy,391,9,400
Deuillet,216,3,219
Dhuizel,114,0,114
Dhuys et Morin-en-Brie,818,16,834
Dizy-le-Gros,747,15,762
Dohis,99,2,101
Dolignon,49,2,51
Dommiers,289,10,299
Domptin,654,14,668
Dorengt,154,6,160
Douchy,162,4,166
Dravegny,132,2,134
Droizy,75,2,77
Dury,222,5,227
Ébouleau,200,6,206
Effry,324,5,329
Englancourt,122,5,127
Épagny,340,6,346
Éparcy,30,6,36
Épaux-Bézu,556,19,575
Épieds,392,12,404
L' Épine-aux-Bois,261,11,272
Eppes,417,14,431
Erlon,284,9,293
Erloy,97,1,98
Esquéhéries,858,11,869
Essigny-le-Grand,1022,24,1046
Essigny-le-Petit,344,5,349
Essises,417,11,428
Essômes-sur-Marne,2776,75,2851
Estrées,412,8,420
Étampes-sur-Marne,1253,27,1280
Étaves-et-Bocquiaux,557,10,567
Étouvelles,213,8,221
Étréaupont,859,8,867
Étreillers,1208,21,1229
Étrépilly,118,1,119
Étreux,1459,9,1468
Évergnicourt,570,6,576
Faverolles,317,12,329
Fayet,654,17,671
La Fère,2859,140,2999
Fère-en-Tardenois,3053,55,3108
La Ferté-Chevresis,542,8,550
La Ferté-Milon,2085,158,2243
Fesmy-le-Sart,486,8,494
Festieux,680,5,685
Fieulaine,256,7,263
Filain,129,2,131
La Flamengrie,1118,10,1128
Flavigny-le-Grand-et-Beaurain,468,5,473
Flavy-le-Martel,1687,29,1716
Fleury,136,5,141
Fluquières,220,4,224
Folembray,1386,18,1404
Fonsomme,469,7,476
Fontaine-lès-Clercs,250,4,254
Fontaine-lès-Vervins,913,182,1095
Fontaine-Notre-Dame,389,3,392
Fontaine-Uterte,127,4,131
Fontenelle,277,3,280
Fontenoy,489,9,498
Foreste,165,1,166
Fossoy,524,6,530
Fourdrain,419,9,428
Francilly-Selency,474,7,481
Franqueville,113,3,116
Fresnes-en-Tardenois,268,4,272
Fresnes-sous-Coucy,161,0,161
Fresnoy-le-Grand,2945,69,3014
Fressancourt,192,5,197
Frières-Faillouël,998,15,1013
Froidestrées,176,4,180
Froidmont-Cohartille,261,8,269
Gandelu,687,9,696
Gauchy,5276,84,5360
Gercy,277,1,278
Gergny,135,2,137
Germaine,81,0,81
Gibercourt,42,1,43
Gizy,672,12,684
Gland,450,6,456
Goudelancourt-lès-Berrieux,57,0,57
Goudelancourt-lès-Pierrepont,135,2,137
Goussancourt,116,6,122
Gouy,560,10,570
